,target-var,in-sample-accuracy,out-of-sample-accuracy,sma,rsi
0,1,0.5227642276422764,0.5322777101096224,5,9
1,2,0.5300813008130081,0.5578562728380024,5,9
2,3,0.8276422764227642,0.853836784409257,5,9
3,4,0.7878048780487805,0.758830694275274,5,9
4,5,0.5959349593495935,0.5797807551766139,5,9
5,6,0.5650406504065041,0.5542021924482339,5,9
6,7,0.5382113821138211,0.5542021924482339,5,9
7,8,0.6325203252032521,0.6138855054811205,5,9
8,9,0.7268292682926829,0.7405602923264312,5,9
9,10,0.8357723577235773,0.8465286236297198,5,9
10,11,0.8276422764227642,0.853836784409257,5,9
11,12,0.7520325203252033,0.7551766138855055,5,9
12,13,0.5650406504065041,0.5542021924482339,5,9
13,14,0.9512195121951219,0.9585870889159561,5,9
14,15,0.7878048780487805,0.758830694275274,5,9
15,16,0.6910569105691057,0.6857490864799025,5,9
16,17,0.9227642276422764,0.904993909866017,5,9
17,18,0.5959349593495935,0.5797807551766139,5,9
18,19,0.5227642276422764,0.5322777101096224,5,9
19,20,0.5975609756097561,0.5895249695493301,5,9
20,21,0.6658536585365854,0.6467722289890377,5,9
21,22,0.7658536585365854,0.7637028014616322,5,9
22,23,0.5959349593495935,0.5895249695493301,5,9
23,24,0.5959349593495935,0.5895249695493301,5,9
24,25,0.5959349593495935,0.5895249695493301,5,9
25,26,0.5959349593495935,0.5895249695493301,5,9
26,27,0.5715447154471545,0.5676004872107187,5,9
27,28,0.5715447154471545,0.5676004872107187,5,9
28,29,0.5715447154471545,0.5676004872107187,5,9
29,30,0.5715447154471545,0.5676004872107187,5,9
30,1,0.524390243902439,0.5310596833130329,5,10
31,2,0.5333333333333333,0.5663824604141291,5,10
32,3,0.8276422764227642,0.853836784409257,5,10
33,4,0.7878048780487805,0.758830694275274,5,10
34,5,0.5943089430894309,0.5773447015834349,5,10
35,6,0.5617886178861788,0.5554202192448234,5,10
36,7,0.5422764227642276,0.5505481120584653,5,10
37,8,0.6300813008130082,0.6199756394640682,5,10
38,9,0.7268292682926829,0.7405602923264312,5,10
39,10,0.8357723577235773,0.8465286236297198,5,10
40,11,0.8276422764227642,0.853836784409257,5,10
41,12,0.7528455284552845,0.7527405602923264,5,10
42,13,0.5617886178861788,0.5554202192448234,5,10
43,14,0.9512195121951219,0.9585870889159561,5,10
44,15,0.7878048780487805,0.758830694275274,5,10
45,16,0.6853658536585366,0.6881851400730816,5,10
46,17,0.9227642276422764,0.904993909866017,5,10
47,18,0.5943089430894309,0.5773447015834349,5,10
48,19,0.524390243902439,0.5310596833130329,5,10
49,20,0.5975609756097561,0.5907429963459196,5,10
50,21,0.6658536585365854,0.6467722289890377,5,10
51,22,0.7658536585365854,0.7637028014616322,5,10
52,23,0.5926829268292683,0.582216808769793,5,10
53,24,0.5926829268292683,0.582216808769793,5,10
54,25,0.5926829268292683,0.582216808769793,5,10
55,26,0.5926829268292683,0.582216808769793,5,10
56,27,0.5707317073170731,0.5676004872107187,5,10
57,28,0.5707317073170731,0.5676004872107187,5,10
58,29,0.5707317073170731,0.5676004872107187,5,10
59,30,0.5707317073170731,0.5676004872107187,5,10
60,1,0.5195121951219512,0.5286236297198539,5,14
61,2,0.5308943089430894,0.5639464068209501,5,14
62,3,0.8276422764227642,0.853836784409257,5,14
63,4,0.7878048780487805,0.758830694275274,5,14
64,5,0.5764227642276423,0.5602923264311814,5,14
65,6,0.5707317073170731,0.5529841656516443,5,14
66,7,0.540650406504065,0.5505481120584653,5,14
67,8,0.6113821138211382,0.6138855054811205,5,14
68,9,0.7268292682926829,0.7405602923264312,5,14
69,10,0.8357723577235773,0.8465286236297198,5,14
70,11,0.8276422764227642,0.853836784409257,5,14
71,12,0.7520325203252033,0.7539585870889159,5,14
72,13,0.5707317073170731,0.5529841656516443,5,14
73,14,0.9512195121951219,0.9585870889159561,5,14
74,15,0.7878048780487805,0.758830694275274,5,14
75,16,0.6796747967479675,0.6857490864799025,5,14
76,17,0.9227642276422764,0.904993909866017,5,14
77,18,0.5764227642276423,0.5602923264311814,5,14
78,19,0.5195121951219512,0.5286236297198539,5,14
79,20,0.5756097560975609,0.582216808769793,5,14
80,21,0.6658536585365854,0.6467722289890377,5,14
81,22,0.7658536585365854,0.7637028014616322,5,14
82,23,0.5756097560975609,0.582216808769793,5,14
83,24,0.5756097560975609,0.582216808769793,5,14
84,25,0.5756097560975609,0.582216808769793,5,14
85,26,0.5756097560975609,0.582216808769793,5,14
86,27,0.5691056910569106,0.5749086479902558,5,14
87,28,0.5691056910569106,0.5749086479902558,5,14
88,29,0.5691056910569106,0.5749086479902558,5,14
89,30,0.5691056910569106,0.5749086479902558,5,14
90,1,0.5505709624796085,0.511002444987775,5,21
91,2,0.5595432300163132,0.519559902200489,5,21
92,3,0.8450244698205547,0.8276283618581907,5,21
93,4,0.7699836867862969,0.784841075794621,5,21
94,5,0.5774877650897227,0.5562347188264058,5,21
95,6,0.5513866231647635,0.5647921760391198,5,21
96,7,0.5464926590538336,0.5342298288508558,5,21
97,8,0.598694942903752,0.5733496332518337,5,21
98,9,0.731647634584013,0.7334963325183375,5,21
99,10,0.8466557911908646,0.8312958435207825,5,21
100,11,0.8450244698205547,0.8276283618581907,5,21
101,12,0.7593800978792822,0.7396088019559902,5,21
102,13,0.5513866231647635,0.5647921760391198,5,21
103,14,0.9616639477977161,0.9425427872860636,5,21
104,15,0.7699836867862969,0.784841075794621,5,21
105,16,0.6810766721044046,0.676039119804401,5,21
106,17,0.9086460032626428,0.9266503667481663,5,21
107,18,0.5774877650897227,0.5562347188264058,5,21
108,19,0.5505709624796085,0.511002444987775,5,21
109,20,0.5725938009787929,0.5880195599022005,5,21
110,21,0.6623164763458401,0.6503667481662592,5,21
111,22,0.7805872756933115,0.7420537897310513,5,21
112,23,0.5889070146818923,0.5562347188264058,5,21
113,24,0.5889070146818923,0.5562347188264058,5,21
114,25,0.5889070146818923,0.5562347188264058,5,21
115,26,0.5889070146818923,0.5562347188264058,5,21
116,27,0.5864600326264274,0.5574572127139364,5,21
117,28,0.5864600326264274,0.5574572127139364,5,21
118,29,0.5864600326264274,0.5574572127139364,5,21
119,30,0.5864600326264274,0.5574572127139364,5,21
120,1,0.5335515548281505,0.5214723926380368,5,28
121,2,0.5384615384615384,0.5141104294478528,5,28
122,3,0.8338788870703764,0.8429447852760736,5,28
123,4,0.7806873977086743,0.7705521472392638,5,28
124,5,0.5515548281505729,0.5840490797546012,5,28
125,6,0.5286415711947627,0.5631901840490797,5,28
126,7,0.5343698854337152,0.5852760736196319,5,28
127,8,0.5720130932896891,0.5852760736196319,5,28
128,9,0.7495908346972177,0.7079754601226994,5,28
129,10,0.8346972176759411,0.849079754601227,5,28
130,11,0.8338788870703764,0.8429447852760736,5,28
131,12,0.7463175122749591,0.7607361963190185,5,28
132,13,0.5286415711947627,0.5631901840490797,5,28
133,14,0.9549918166939444,0.9521472392638037,5,28
134,15,0.7806873977086743,0.7705521472392638,5,28
135,16,0.693126022913257,0.656441717791411,5,28
136,17,0.9247135842880524,0.901840490797546,5,28
137,18,0.5515548281505729,0.5840490797546012,5,28
138,19,0.5335515548281505,0.5214723926380368,5,28
139,20,0.5548281505728314,0.5705521472392638,5,28
140,21,0.6702127659574468,0.6392638036809816,5,28
141,22,0.7569558101472995,0.7766871165644171,5,28
142,23,0.5540098199672667,0.5766871165644172,5,28
143,24,0.5540098199672667,0.5766871165644172,5,28
144,25,0.5540098199672667,0.5766871165644172,5,28
145,26,0.5540098199672667,0.5766871165644172,5,28
146,27,0.5474631751227496,0.5852760736196319,5,28
147,28,0.5474631751227496,0.5852760736196319,5,28
148,29,0.5474631751227496,0.5852760736196319,5,28
149,30,0.5474631751227496,0.5852760736196319,5,28
150,1,0.5227642276422764,0.5322777101096224,6,9
151,2,0.5300813008130081,0.5578562728380024,6,9
152,3,0.8276422764227642,0.853836784409257,6,9
153,4,0.7878048780487805,0.758830694275274,6,9
154,5,0.5959349593495935,0.5785627283800243,6,9
155,6,0.5658536585365853,0.5542021924482339,6,9
156,7,0.5390243902439025,0.5542021924482339,6,9
157,8,0.6325203252032521,0.6138855054811205,6,9
158,9,0.7268292682926829,0.7405602923264312,6,9
159,10,0.8357723577235773,0.8465286236297198,6,9
160,11,0.8276422764227642,0.853836784409257,6,9
161,12,0.7528455284552845,0.7551766138855055,6,9
162,13,0.5658536585365853,0.5542021924482339,6,9
163,14,0.9512195121951219,0.9585870889159561,6,9
164,15,0.7878048780487805,0.758830694275274,6,9
165,16,0.691869918699187,0.6845310596833131,6,9
166,17,0.9227642276422764,0.904993909866017,6,9
167,18,0.5959349593495935,0.5785627283800243,6,9
168,19,0.5227642276422764,0.5322777101096224,6,9
169,20,0.5975609756097561,0.5907429963459196,6,9
170,21,0.6658536585365854,0.6467722289890377,6,9
171,22,0.7658536585365854,0.7637028014616322,6,9
172,23,0.5959349593495935,0.5895249695493301,6,9
173,24,0.5959349593495935,0.5895249695493301,6,9
174,25,0.5959349593495935,0.5895249695493301,6,9
175,26,0.5959349593495935,0.5895249695493301,6,9
176,27,0.5723577235772358,0.5676004872107187,6,9
177,28,0.5723577235772358,0.5676004872107187,6,9
178,29,0.5723577235772358,0.5676004872107187,6,9
179,30,0.5723577235772358,0.5676004872107187,6,9
180,1,0.524390243902439,0.5286236297198539,6,10
181,2,0.5333333333333333,0.5663824604141291,6,10
182,3,0.8276422764227642,0.853836784409257,6,10
183,4,0.7878048780487805,0.758830694275274,6,10
184,5,0.5934959349593496,0.5773447015834349,6,10
185,6,0.5617886178861788,0.5566382460414129,6,10
186,7,0.5422764227642276,0.5505481120584653,6,10
187,8,0.6292682926829268,0.6187576126674786,6,10
188,9,0.7268292682926829,0.7405602923264312,6,10
189,10,0.8357723577235773,0.8465286236297198,6,10
190,11,0.8276422764227642,0.853836784409257,6,10
191,12,0.7528455284552845,0.7527405602923264,6,10
192,13,0.5617886178861788,0.5566382460414129,6,10
193,14,0.9512195121951219,0.9585870889159561,6,10
194,15,0.7878048780487805,0.758830694275274,6,10
195,16,0.6853658536585366,0.6881851400730816,6,10
196,17,0.9227642276422764,0.904993909866017,6,10
197,18,0.5934959349593496,0.5773447015834349,6,10
198,19,0.524390243902439,0.5286236297198539,6,10
199,20,0.5967479674796748,0.5907429963459196,6,10
200,21,0.6658536585365854,0.6467722289890377,6,10
201,22,0.7658536585365854,0.7637028014616322,6,10
202,23,0.5926829268292683,0.582216808769793,6,10
203,24,0.5926829268292683,0.582216808769793,6,10
204,25,0.5926829268292683,0.582216808769793,6,10
205,26,0.5926829268292683,0.582216808769793,6,10
206,27,0.5715447154471545,0.5688185140073082,6,10
207,28,0.5715447154471545,0.5688185140073082,6,10
208,29,0.5715447154471545,0.5688185140073082,6,10
209,30,0.5715447154471545,0.5688185140073082,6,10
210,1,0.5203252032520326,0.5286236297198539,6,14
211,2,0.5308943089430894,0.5639464068209501,6,14
212,3,0.8276422764227642,0.853836784409257,6,14
213,4,0.7878048780487805,0.758830694275274,6,14
214,5,0.5747967479674797,0.561510353227771,6,14
215,6,0.5707317073170731,0.5529841656516443,6,14
216,7,0.540650406504065,0.5493300852618758,6,14
217,8,0.6113821138211382,0.6138855054811205,6,14
218,9,0.7268292682926829,0.7405602923264312,6,14
219,10,0.8357723577235773,0.8465286236297198,6,14
220,11,0.8276422764227642,0.853836784409257,6,14
221,12,0.7520325203252033,0.7539585870889159,6,14
222,13,0.5707317073170731,0.5529841656516443,6,14
223,14,0.9512195121951219,0.9585870889159561,6,14
224,15,0.7878048780487805,0.758830694275274,6,14
225,16,0.6796747967479675,0.6857490864799025,6,14
226,17,0.9227642276422764,0.904993909866017,6,14
227,18,0.5747967479674797,0.561510353227771,6,14
228,19,0.5203252032520326,0.5286236297198539,6,14
229,20,0.5756097560975609,0.582216808769793,6,14
230,21,0.6658536585365854,0.6467722289890377,6,14
231,22,0.7658536585365854,0.7637028014616322,6,14
232,23,0.5756097560975609,0.582216808769793,6,14
233,24,0.5756097560975609,0.582216808769793,6,14
234,25,0.5756097560975609,0.582216808769793,6,14
235,26,0.5756097560975609,0.582216808769793,6,14
236,27,0.5682926829268292,0.5749086479902558,6,14
237,28,0.5682926829268292,0.5749086479902558,6,14
238,29,0.5682926829268292,0.5749086479902558,6,14
239,30,0.5682926829268292,0.5749086479902558,6,14
240,1,0.5522022838499184,0.511002444987775,6,21
241,2,0.5595432300163132,0.519559902200489,6,21
242,3,0.8450244698205547,0.8276283618581907,6,21
243,4,0.7699836867862969,0.784841075794621,6,21
244,5,0.5791190864600326,0.5537897310513448,6,21
245,6,0.5513866231647635,0.5635696821515892,6,21
246,7,0.5464926590538336,0.5342298288508558,6,21
247,8,0.598694942903752,0.5733496332518337,6,21
248,9,0.731647634584013,0.7334963325183375,6,21
249,10,0.8466557911908646,0.8312958435207825,6,21
250,11,0.8450244698205547,0.8276283618581907,6,21
251,12,0.7593800978792822,0.7396088019559902,6,21
252,13,0.5513866231647635,0.5635696821515892,6,21
253,14,0.9616639477977161,0.9425427872860636,6,21
254,15,0.7699836867862969,0.784841075794621,6,21
255,16,0.6810766721044046,0.676039119804401,6,21
256,17,0.9086460032626428,0.9266503667481663,6,21
257,18,0.5791190864600326,0.5537897310513448,6,21
258,19,0.5522022838499184,0.511002444987775,6,21
259,20,0.5725938009787929,0.5880195599022005,6,21
260,21,0.6623164763458401,0.6503667481662592,6,21
261,22,0.7805872756933115,0.7420537897310513,6,21
262,23,0.5880913539967374,0.5562347188264058,6,21
263,24,0.5880913539967374,0.5562347188264058,6,21
264,25,0.5880913539967374,0.5562347188264058,6,21
265,26,0.5880913539967374,0.5562347188264058,6,21
266,27,0.5880913539967374,0.5574572127139364,6,21
267,28,0.5880913539967374,0.5574572127139364,6,21
268,29,0.5880913539967374,0.5574572127139364,6,21
269,30,0.5880913539967374,0.5574572127139364,6,21
270,1,0.5343698854337152,0.5190184049079755,6,28
271,2,0.5376432078559739,0.5141104294478528,6,28
272,3,0.8338788870703764,0.8429447852760736,6,28
273,4,0.7806873977086743,0.7705521472392638,6,28
274,5,0.5507364975450082,0.5852760736196319,6,28
275,6,0.5286415711947627,0.5631901840490797,6,28
276,7,0.5343698854337152,0.5852760736196319,6,28
277,8,0.5720130932896891,0.5852760736196319,6,28
278,9,0.7495908346972177,0.7079754601226994,6,28
279,10,0.8346972176759411,0.849079754601227,6,28
280,11,0.8338788870703764,0.8429447852760736,6,28
281,12,0.7463175122749591,0.7607361963190185,6,28
282,13,0.5286415711947627,0.5631901840490797,6,28
283,14,0.9549918166939444,0.9521472392638037,6,28
284,15,0.7806873977086743,0.7705521472392638,6,28
285,16,0.693126022913257,0.656441717791411,6,28
286,17,0.9247135842880524,0.901840490797546,6,28
287,18,0.5507364975450082,0.5852760736196319,6,28
288,19,0.5343698854337152,0.5190184049079755,6,28
289,20,0.5548281505728314,0.5717791411042945,6,28
290,21,0.6702127659574468,0.6392638036809816,6,28
291,22,0.7569558101472995,0.7766871165644171,6,28
292,23,0.5540098199672667,0.5766871165644172,6,28
293,24,0.5540098199672667,0.5766871165644172,6,28
294,25,0.5540098199672667,0.5766871165644172,6,28
295,26,0.5540098199672667,0.5766871165644172,6,28
296,27,0.546644844517185,0.5828220858895705,6,28
297,28,0.546644844517185,0.5828220858895705,6,28
298,29,0.546644844517185,0.5828220858895705,6,28
299,30,0.546644844517185,0.5828220858895705,6,28
300,1,0.5219512195121951,0.5322777101096224,7,9
301,2,0.5308943089430894,0.559074299634592,7,9
302,3,0.8276422764227642,0.853836784409257,7,9
303,4,0.7878048780487805,0.758830694275274,7,9
304,5,0.5967479674796748,0.5785627283800243,7,9
305,6,0.5658536585365853,0.5542021924482339,7,9
306,7,0.5390243902439025,0.5529841656516443,7,9
307,8,0.6333333333333333,0.6151035322777101,7,9
308,9,0.7268292682926829,0.7405602923264312,7,9
309,10,0.8357723577235773,0.8465286236297198,7,9
310,11,0.8276422764227642,0.853836784409257,7,9
311,12,0.7528455284552845,0.7551766138855055,7,9
312,13,0.5658536585365853,0.5542021924482339,7,9
313,14,0.9512195121951219,0.9585870889159561,7,9
314,15,0.7878048780487805,0.758830694275274,7,9
315,16,0.691869918699187,0.6845310596833131,7,9
316,17,0.9227642276422764,0.904993909866017,7,9
317,18,0.5967479674796748,0.5785627283800243,7,9
318,19,0.5219512195121951,0.5322777101096224,7,9
319,20,0.5975609756097561,0.5907429963459196,7,9
320,21,0.6658536585365854,0.6467722289890377,7,9
321,22,0.7658536585365854,0.7637028014616322,7,9
322,23,0.5951219512195122,0.5883069427527405,7,9
323,24,0.5951219512195122,0.5883069427527405,7,9
324,25,0.5951219512195122,0.5883069427527405,7,9
325,26,0.5951219512195122,0.5883069427527405,7,9
326,27,0.5723577235772358,0.5676004872107187,7,9
327,28,0.5723577235772358,0.5676004872107187,7,9
328,29,0.5723577235772358,0.5676004872107187,7,9
329,30,0.5723577235772358,0.5676004872107187,7,9
330,1,0.5235772357723577,0.5298416565164433,7,10
331,2,0.532520325203252,0.5663824604141291,7,10
332,3,0.8276422764227642,0.853836784409257,7,10
333,4,0.7878048780487805,0.758830694275274,7,10
334,5,0.5934959349593496,0.5773447015834349,7,10
335,6,0.5626016260162602,0.5566382460414129,7,10
336,7,0.5430894308943089,0.5505481120584653,7,10
337,8,0.6292682926829268,0.6199756394640682,7,10
338,9,0.7268292682926829,0.7405602923264312,7,10
339,10,0.8357723577235773,0.8465286236297198,7,10
340,11,0.8276422764227642,0.853836784409257,7,10
341,12,0.7528455284552845,0.7527405602923264,7,10
342,13,0.5626016260162602,0.5566382460414129,7,10
343,14,0.9512195121951219,0.9585870889159561,7,10
344,15,0.7878048780487805,0.758830694275274,7,10
345,16,0.6853658536585366,0.6881851400730816,7,10
346,17,0.9227642276422764,0.904993909866017,7,10
347,18,0.5934959349593496,0.5773447015834349,7,10
348,19,0.5235772357723577,0.5298416565164433,7,10
349,20,0.5967479674796748,0.5907429963459196,7,10
350,21,0.6658536585365854,0.6467722289890377,7,10
351,22,0.7658536585365854,0.7637028014616322,7,10
352,23,0.5910569105691057,0.582216808769793,7,10
353,24,0.5910569105691057,0.582216808769793,7,10
354,25,0.5910569105691057,0.582216808769793,7,10
355,26,0.5910569105691057,0.582216808769793,7,10
356,27,0.5707317073170731,0.5676004872107187,7,10
357,28,0.5707317073170731,0.5676004872107187,7,10
358,29,0.5707317073170731,0.5676004872107187,7,10
359,30,0.5707317073170731,0.5676004872107187,7,10
360,1,0.5211382113821138,0.5274056029232643,7,14
361,2,0.5308943089430894,0.5627283800243605,7,14
362,3,0.8276422764227642,0.853836784409257,7,14
363,4,0.7878048780487805,0.758830694275274,7,14
364,5,0.5739837398373984,0.5602923264311814,7,14
365,6,0.5707317073170731,0.5529841656516443,7,14
366,7,0.540650406504065,0.5493300852618758,7,14
367,8,0.6113821138211382,0.6151035322777101,7,14
368,9,0.7268292682926829,0.7405602923264312,7,14
369,10,0.8357723577235773,0.8465286236297198,7,14
370,11,0.8276422764227642,0.853836784409257,7,14
371,12,0.7520325203252033,0.7539585870889159,7,14
372,13,0.5707317073170731,0.5529841656516443,7,14
373,14,0.9512195121951219,0.9585870889159561,7,14
374,15,0.7878048780487805,0.758830694275274,7,14
375,16,0.6796747967479675,0.6857490864799025,7,14
376,17,0.9227642276422764,0.904993909866017,7,14
377,18,0.5739837398373984,0.5602923264311814,7,14
378,19,0.5211382113821138,0.5274056029232643,7,14
379,20,0.5756097560975609,0.584652862362972,7,14
380,21,0.6658536585365854,0.6467722289890377,7,14
381,22,0.7658536585365854,0.7637028014616322,7,14
382,23,0.5764227642276423,0.582216808769793,7,14
383,24,0.5764227642276423,0.582216808769793,7,14
384,25,0.5764227642276423,0.582216808769793,7,14
385,26,0.5764227642276423,0.582216808769793,7,14
386,27,0.5682926829268292,0.5749086479902558,7,14
387,28,0.5682926829268292,0.5749086479902558,7,14
388,29,0.5682926829268292,0.5749086479902558,7,14
389,30,0.5682926829268292,0.5749086479902558,7,14
390,1,0.5513866231647635,0.511002444987775,7,21
391,2,0.5595432300163132,0.519559902200489,7,21
392,3,0.8450244698205547,0.8276283618581907,7,21
393,4,0.7699836867862969,0.784841075794621,7,21
394,5,0.5774877650897227,0.5550122249388753,7,21
395,6,0.5513866231647635,0.5647921760391198,7,21
396,7,0.5464926590538336,0.5342298288508558,7,21
397,8,0.598694942903752,0.5733496332518337,7,21
398,9,0.731647634584013,0.7334963325183375,7,21
399,10,0.8466557911908646,0.8312958435207825,7,21
400,11,0.8450244698205547,0.8276283618581907,7,21
401,12,0.7593800978792822,0.7396088019559902,7,21
402,13,0.5513866231647635,0.5647921760391198,7,21
403,14,0.9616639477977161,0.9425427872860636,7,21
404,15,0.7699836867862969,0.784841075794621,7,21
